id	DTM	LWC_g	PLHT_cm	TSM_g	STEM_DIAMETER_cm	STEM_BIOMASS_g	SEED_YIELD_g	TOTAL_DRY_BIOMASS_g	CBC (%)	THCA (%)	CBDA (%)	CBGA (%)	3.carene (ppm)	A.pinene (ppm)	A.terpinene (ppm)	B.caryophyllene (ppm)	Camphene (ppm)	Caryophyllene.Oxide (ppm)	Citronellol (ppm)	Eucalyptol (ppm)	Geraniol (ppm)	G.terpinene (ppm)	Linalool (ppm)	Linalyl.Acetate (ppm)	Ocimene.1 (ppm)
UC-141	103.6666667	1.086666667	122.4666667	16.2	1.133333333	50.62666667	49.27333333	206.1066667	0	0.0006	0.0216	0.0035	0	28.64	0	17.16	0	7.01	0	0	0	0	0	2.02	0
UC-143	96	1.26	85.1	18	0.9	15.43	39.01	97.07	0	0	0.0019	0.4207	0	11.72	0	12.28	0	11.02	0	3.22	0	0	0	0	0
UC-144	96	0.74	80.7	12.4	0.8	9.76	17.28	59.08	0	0.0006	0.031	0.0009	0	36.48	0	22.88	0	19.51	0	0	0	0	0	0	0
UC-145	96	0.75	65.1	14	0.9	12.14	12.51	63.22	0	0.0013	0.0495	0.002	0.51	78.74	1.6	21.11	1.37	6.84	0	3.04	0	1.48	0	0	0
UC-147	107	2.64	145.4	15.8	1.2	66.95	38.86	242.56	0	0.0013	0.044	0.0004	0	76.18	0	14.14	0	11.15	0	0	0	0	0	0	0
UC-149	117	0.97	48.5	12.8	1	20.77	13.06	72.92																	
UC-151	112.3333333	2.116666667	92.5	19	1.433333333	17.49	5.78	67.78666667	0.0015	0.0101	0.3099	0	0	377.9	14.46	251.46	5.44	2.42	0	0	0	8.49	0	0	7.93
UC-152	107.5	0.475	61.2	11.6	1.3	13.435	5.06	50.405	0	0	0.0021	0.0145	0	44.58	0	7.54	0	14.28	0	0	0	0	0	0	0
UC-153	107	0.4	16.9	13	0.3	1.32	2.48	16.96	0	0	0.0007	0	0	20.56	0	6.55	0.52	15.1	0	0	3.29	0	0	1.8	0
UC-154	89	0.905	59.5	11.8	0.7	4.825	2.89	30.775	0.0008	0.0024	0.1026	0.001													
UC-155	95.33333333	0.806666667	104.5	16.6	1.066666667	23.39333333	57.25666667	135.15	0.0004	0.0021	0.0896	0.001	0	69.19	2.32	54.97	1.28	11.49	0	0	0	1.31	0.43	0	3.94
UC-156	98	0.45	50.4	15.4	0.5	3.84	10.2	28.55	0	0.0042	0.1363	0.0052	0.73	59.08	1.37	11.48	2.36	2.87	0	0	0	1.19	0	2.76	0.91
UC-157	84	0.78		12.8	0.7	5.15	5.51	42.93	0	0.0132	0.5028	0.0077	2.49	204.38	4.17	37.29	6.93	9.5	0	9.6	0	0	0	0	0
UC-158	120	1.303333333	118.7666667	18	1.466666667	40.47	22.78333333	171.0366667	0	0	0.0022	0	0	20.94	0	1.48	0.42	15.96	1.95	0	5.5	0	0	2.32	0
UC-159	106.3333333	0.656666667	78.53333333	14.2	1.033333333	24.66	9.99	125.54	0	0	0.0008	0.0005	0	3.7	0	0	0	3.81	0	0	2.09	0	0	1.1	0
UC-162	84	0.89		12.2	0.7	4.4	3.49	30.2	0.0005	0.0024	0.1049	0.0013	0	35.02	2.53	19.75	0	3.76	0	0	0	2.13	0	3.24	0.84
UC-164	117	0.33	33.1	9.2	0.6	5.81	8.3	31.03																	
UC-165	82	0.5		13.4	0.6	6.81	3.21	27.45	0	0.0032	0.1431	0.0043	0	58.58	5.4	13.16	0	12.6	0	0	0	4.46	0	0	0
UC-168	96	0.43	46.5	11.8	0.4	2.15	1.16	11.5	0	0	0.0013	0.0006	0	7.73	0	3.06	0	12.06	0	0	4.02	0	0	1.79	0
UC-169	107	0.56	115	14.4	1.7	28.1	57.13	181.75																	
UC-171	105	1.78	139.6	11.6	1.7	98.89	83.42	327.73	0	0.0405	1.3003	0.0345	0	252.05	3.82	129.36	6.23	3.13	0	0	0	4.25	0	3.02	4.48
UC-172	82	0.54		14.6	6	4.96	3.02	25.64																	
UC-174	107	0.53	78	12.8	2.68	23.39	31.64	115.15																	
UC-177	91	0.41	41	13.6	0.4	2.44	4.55	17.46	0	0.0003	0.0067	0.0006	0	9.7	0	0	0	13.02	1.78	0	5.85	0	0	2.17	0
UC-178	101	1.42	106.4	17	1	23.6	49.62	151.93	0	0	0.001	0.0002	0	21.45	0	0	0.57	10.62	1.58	0	4.3	0	0	1.58	0
UC-179	98	0.37	43.5	10.8	0.5	2.74	1	19.02	0	0	0.0019	0.0085	0	25	0	6.91	0	13.8	0	3.1	0	0	0	2.07	0
UC-183	101	0.67	50	11	0.5	6.33	12.54	40.32	0	0	0.0052	0.0268	0	21.26	0	10.33	0	12.84	0	0	0	0	0	0	0
UC-184	84	0.5		6.363636364	0.4	1.49	0.13	8.75	0	0	0.0941	0	0	19.17	0	5.8	0	0	0	0	0	0	0	0	0
UC-185	105	1.34	117.1	13.2	1.3	41.24	33.65	169.09	0.002	0.0172	0.6376	0.0274	0	96.76	4.13	18.64	3.81	5.93	0	0	0	3.25	0	3.3	3.64
UC-187	88	0.66	66.3	14.4	0.8	10.28	13.51	62.27																	
UC-188	102.6666667	2.236666667	118.0666667	19.8	1.133333333	35.77333333	1.77	135.3566667																	
UC-189																									
